coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
XBS,2015-01-13,2015-01-12,Bitstake,1,8,1,1,46,46,0,0.03574879,0.001181787,0.001182728,9.463932e-05,1.417816e-05,9.464505e-05,1.417816e-05,0.0,4,4.551779e-06,1.696346e-05
NYC,2014-05-06,2014-03-19,scryptenthusiast,1,98,7,1,3,2,1,0.0,0.001825726,0.00182938,2.188711e-05,2.188663e-05,2.188711e-05,2.188663e-05,1.0,inf,1.136864e-06,4.843404e-06
GAIA,2014-10-11,2013-12-28,JonnyBravo,1,95,9,221,47,39,8,0.07678076,0.004220687,0.004233571,0.0004351212,5.628831e-05,0.0004352441,5.62891e-05,27490.51,4,6.330286e-05,0.0001836771
WLF,2014-10-20,2014-08-12,WolfcoinWLF,1,27,2,1,1,1,0,0.0,0.001415307,0.00141753,0.0001117866,1.597699e-05,0.0001117977,1.597699e-05,0.0,4,1.770448e-06,6.248303e-06
MONA,2014-03-20,2013-12-31,2chpool,1,2,1,1,2,2,0,0.0,3.882892e-05,3.882892e-05,3.882892e-05,3.88259e-05,3.882892e-05,3.88259e-05,0.0,inf,4.89689e-06,2.049696e-05
OPAL,2014-09-13,2013-05-01,markm,1,4296,47,821,508,60,448,0.08730875,0.01558046,0.01581188,0.001118832,0.0001577942,0.001120104,0.0001578011,234640.1,3,0.0002106436,0.0003581516
SPT,2013-07-25,2013-07-22,iGotSpots,1,714,34,82,238,125,113,0.1417156,0.01115874,0.01131465,0.0008419016,0.0001012294,0.0008426637,0.0001012331,180889.2,3,0.0001948044,0.0004932058
TAG,2013-11-05,2013-10-25,tagbond,1,106,6,26,17,16,1,0.1838235,0.008853275,0.008915268,0.0007126984,8.774196e-05,0.0007130573,8.774384e-05,580.9548,4,1.819352e-05,5.099442e-05
DRKC,2014-07-29,2014-07-26,zlibz,1,47,2,4,106,101,5,0.02156334,0.001447131,0.001449431,0.0001121803,2.143861e-05,0.0001121894,2.14387e-05,94501.7,4,1.480198e-05,5.098102e-05
TAC,2014-06-17,2014-04-18,Talkcoin,1,57,2,43,14,14,0,0.0,0.001674439,0.001676873,0.0001657713,2.013936e-05,0.0001657963,2.013936e-05,0.0,4,2.456632e-06,9.576511e-06
SPA,2014-03-15,2014-03-05,SpainCoinDev,1,54,1,1,9,9,0,0.02777778,0.002018834,0.002022473,0.0002179848,2.323312e-05,0.000218024,2.323312e-05,0.0,3,7.43865e-06,2.373687e-05
TAK,2014-02-27,2014-02-08,TakeiCoin,1,165,13,1,14,14,0,0.02197802,0.002657683,0.002664205,0.0002801511,2.65915e-05,0.0002802046,2.65915e-05,0.0,4,5.029273e-06,1.902258e-05
XPM,2013-07-11,2012-10-03,Sunny King,1,846,28,54,110,88,22,0.1090497,0.02888635,0.0298812,0.001493334,0.0002920772,0.001495498,0.0002921082,23570.96,2,0.0005347526,0.001057573
