coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
XBS,2015-01-13,2015-01-12,Bitstake,1,8,1,1,46,46,0,0.03574879,0.001181787,0.001182728,9.463932e-05,1.417816e-05,9.464505e-05,1.417816e-05,0.0,4,4.551779e-06,1.696346e-05
NYC,2014-05-06,2014-03-19,scryptenthusiast,1,98,7,1,3,2,1,0.0,0.001825726,0.00182938,2.188711e-05,2.188663e-05,2.188711e-05,2.188663e-05,1.0,inf,1.136864e-06,4.843404e-06
GAIA,2014-10-11,2013-12-17,rapidfire187,1,230,29,176,424,331,93,0.07284871,0.004961171,0.004987996,0.0005385696,6.555423e-05,0.0005388284,6.555575e-05,382804.6,3,0.0002542762,0.000730141
WLF,2014-10-20,2014-08-12,WolfcoinWLF,1,27,2,1,1,1,0,0.0,0.001415307,0.00141753,0.0001117866,1.597699e-05,0.0001117977,1.597699e-05,0.0,4,1.770448e-06,6.248303e-06
MONA,2014-03-20,2013-12-31,2chpool,1,2,1,1,2,2,0,0.0,3.882892e-05,3.882892e-05,3.882892e-05,3.88259e-05,3.882892e-05,3.88259e-05,0.0,inf,4.89689e-06,2.049696e-05
OPAL,2014-09-13,2013-05-01,markm,1,4296,47,821,508,60,448,0.08730875,0.01558046,0.01581188,0.001118832,0.0001577942,0.001120104,0.0001578011,234640.1,3,0.0002106436,0.0003581516
SPT,2013-07-25,2013-01-02,xorxor,1,390,10,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
CHASH,2014-12-13,2014-11-05,infazan,1,240,8,549,147,70,77,0.05477855,0.001261099,0.001262199,0.0001009051,1.9374e-05,0.000100912,1.937406e-05,280567.9,4,4.874649e-05,0.0001602731
TAG,2013-11-05,2013-01-02,xorxor,1,457,11,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
DRKC,2014-07-29,2014-07-26,zlibz,1,47,2,4,106,101,5,0.02156334,0.001447131,0.001449431,0.0001121803,2.143861e-05,0.0001121894,2.14387e-05,94501.7,4,1.480198e-05,5.098102e-05
TAC,2014-06-17,2013-05-27,maxpower,1,309,2,21,18,2,16,0.254902,0.0130031,0.01311813,0.0009184464,0.0001235373,0.0009192522,0.0001235412,1.45,4,5.608948e-06,2.082429e-05
SPA,2014-03-15,2014-01-20,naplam,1,51,4,4,1,0,1,0.0,0.003832516,0.003844524,3.300984e-05,4.631564e-05,3.300984e-05,4.631619e-05,0.0,inf,1.58516e-06,6.607751e-06
TAK,2014-02-27,2014-01-06,manfred,1,89,7,256,94,62,32,0.08742403,0.003894862,0.003906208,0.000389711,5.173963e-05,0.0003898094,5.17401e-05,19227.56,3,0.0001078456,9.774397e-05
