symbol,coin_name,slug
CPC,Capricoin,capricoin
XBS,BitStake,bitstake
NXTprivacy,NXTprivacy,nxtprivacy
SIB,SIBCoin,sibcoin
YUM,CandyCoin,candycoin
SKYNET,SkyNET,skynet-asset
NYC,NewYorkCoin,newyorkcoin
GAIA,GAIA,gaia
AGS,Aegis,aegis
XBC,Bitcoin Plus,bitcoin-plus
DRKT,DarkTron,darktron
MONA,MonaCoin,monacoin
OPAL,Opal,opal
BLITZ,Blitz,blitz
TAG,TagCoin,tagcoin
DRKC,DarkCash,darkcash
XMR,Monero,monero
SPA,SpainCoin,spaincoin
SPC,SpikesPrivateCoin,spikesprivatecoin
HEEL,HeelCoin,heelcoin
TAK,TakCoin,takcoin
PRIME,PrimeChain,primechain
XPM,Primecoin,primecoin
GP,GoldPieces,goldpieces
BTCS,Bitcoin Scrypt,bitcoin-scrypt
IXC,Ixcoin,ixcoin
MTLMC3,Metal Music Coin,metal-music-coin
NOBL,NobleCoin,noblecoin
FIC,Full Integrity Coin,full-integrity-coin
XPY,PayCoin,paycoin2
PIGGY,Piggycoin,piggycoin
BGCAFFE,Buongiorno Caffe,buongiorno-caffe
FIMK,FIMKrypto,fimkrypto
BYC,Bytecent,bytecent
BTCD,BitcoinDark,bitcoindark
TRICK,TrickyCoin,trickycoin
MNC,Mincoin,mincoin
MAX,MaxCoin,maxcoin
LAB,Coinworkscoin,coinworkscoin
PAC,Paccoin,paccoin
MAD,SatoshiMadness,satoshimadness
FFC,FireFlyCoin,fireflycoin
GUA,Guarany,guarany
BEN,Benjamins,benjamins
GUE,Guerillacoin,guerillacoin
EVO,Evotion,evotion
DTC,Datacoin,datacoin
CME,Cashme,cashme
GUN,Guncoin,guncoin
YBC,YbCoin,ybcoin
BET,BetaCoin,betacoin
LSD,Lightspeed,lightspeed
HUC,HunterCoin,huntercoin
HUN,Hundredcoin,hundredcoin
KDC,KlondikeCoin,klondikecoin
TTC,TittieCoin,tittiecoin
NMB,Nimbus,nimbus
GRT,Grantcoin,grantcoin
GRS,GroestlCoin,groestlcoin
BLU,BlueCoin,bluecoin
1337,1337,1337
SOLE,Solecoin,solecoin
FLAX,Flaxscript,flaxscript
GRF,Graffiti,graffiti
FTC,Feathercoin,feathercoin
GRE,Greencoin,greencoin
GRC,GridCoin,gridcoin
BLK,BlackCoin,blackcoin
CRACK,CrackCoin,crackcoin
GRN,GraniteCoin,granitecoin
SPRTS,Sprouts,sprouts
DSB,DarkShibe,darkshibe
BLC,Blakecoin,blakecoin
COOL,CoolCoin,coolcoin
HYPER,Hyper,hyper
URC,Unrealcoin,unrealcoin
MI,Xiaomicoin,xiaomicoin
NOC,Nocturna,nocturna
EMC2,Einsteinium,einsteinium
CBX,Crypto Bullion,cryptogenic-bullion
SPR,SpreadCoin,spreadcoin
EKN,Elektron,elektron
DON,Donationcoin,donationcoin
SHF,Shift,shift
FJC,FujiCoin,fujicoin
CRYPT,CryptCoin,cryptcoin
REP,Augur,augur
GLC,GlobalCoin,globalcoin
GLD,GoldCoin,goldcoin
XSEED,BitSeeds,bitseeds
CTM,ContinuumCoin,continuumcoin
CTO,Crypto,crypto
SMC,SmartCoin,smartcoin
RED,RedCoin,redcoin
CLAM,Clams,clams
FCT,Factom,factom
BST,BitStone,bitstone
XFC,Forevercoin,forevercoin
DROP,Faucetcoin,faucetcoin
BITEUR,bitEUR,biteur
FCN,Fantomcoin,fantomcoin
BSC,BowsCoin,bowscoin
LTS,LiteStarCoin,litestarcoin
FC2,FuelCoin,fuelcoin
DFT,DraftCoin,draftcoin
AUM,Alexium,alexium
LTC,Litecoin,litecoin
LTB,LiteBar,litebar
UNITY,SuperNET,supernet-unity
AUR,Auroracoin,auroracoin
XTC,TileCoin,tilecoin
VEC,Vector,vector
LTD,LimitedCoin,limitedcoin
BTQ,BitQuark,bitquark
CAT,Catcoin,catcoin
ALN,Aliencoin,aliencoin
QUIT,QuitDough,quitdough
BTS,BitShares,bitshares
ALF,AlphaCoin,alphacoin
NTR,Neutrino,neutrino
SBC,StableCoin,stablecoin
SC,Siacoin,siacoin
ORB,Orbitcoin,orbitcoin
MMC,Memorycoin,memorycoin
GLYPH,Glyph,glyph
I0C,I0Coin,i0coin
BAT,BatCoin,batcoin
SSV,SSVCoin,ssvcoin
FUTC,FutCoin,futcoin
TOR,TorCoin,torcoin
SOIL,SOILcoin,soilcoin
TOP,TopCoin,topcoin
CAP,Bottlecaps,bottlecaps
RIPO,RipoffCoin,ripoffcoin
BAY,BitBay,bitbay
OS76,OsmiumCoin,osmiumcoin
ERC,EuropeCoin,europecoin
HAL,Halcyon,halcyon
BTE,Bytecoin,bytecoin-bte
BTG,Bitgem,bitgem
CELL,SolarFarm,solarfarm
Privatebet,Privatebet,privatebet
XPB,Pebblecoin,pebblecoin
MGW,MGW,mgw
VPN,VPNCoin,vpncoin
ABC,Asset Backed Coin,asset-backed-coin
HUGE,BigCoin,bigcoin
DCYP,DarkCypher,darkcypher
BANX,BanxShares,banxshares
NEOS,NeosCoin,neoscoin
STV,Sativacoin,sativacoin
ANTI,AntiBitcoin,antibitcoin
RZR,Razor,razor
STR,StarCoin,starcoin
CZC,CzechCrownCoin,czechcrowncoin
ABY,ArtByte,applebyte
EXCL,ExclusiveCoin,exclusivecoin
XPD,PetroDollar,petrodollar
CACH,CacheCoin,cachecoin
ORO,ORObit,orobit
HZT,HazMatCoin,hazmatcoin
JINN,Jinn,jinn
PND,Pandacoin,pandacoin-pnd
GB,GreenBacks,greenbacks
XXX,XxXcoin,xxxcoin
XQN,Quotient,quotient
MIN,Mineralscoin,minerals
SF0,sharkfund0,sharkfund0
LIT,Lightcoin,lightcoin
GHC,GamerholicCoin,gamerholiccoin
XUP,UPcoin,upcoin
ZNY,Bitzeny,bitzeny
GAP,Gapcoin,gapcoin
AMBER,AmberCoin,ambercoin
DIBS,Dibbits,dibbits
PRC,ProsperCoin,prospercoin
MEOW,Kittehcoin,kittehcoin
PRT,Particle,particle
CHA,Chancecoin,chancecoin
CHC,ChainCoin,chaincoin
MRY,Murraycoin,murraycoin
JAY,Jay,jay
MMNXT,MMNXT,mmnxt
URO,Uro,uro
MRS,Marscoin,marscoin
020,020LondonCoin,o2olondoncoin
QBK,Qibuck,qibuck
DIGS,Diggits,diggits
MRC,microCoin,microcoin
UTIL,UtilityCoin,utilitycoin
VIA,Viacoin,viacoin
DBL,Doubloons,doubloons
MMBTCD,MMBTCD,mmbtcd
SFR,SaffronCoin,saffroncoin
8BIT,8Bit,8bit
APC,Applecoin,applecoin
NIRO,Nexus,coinshield
PYC,Paycoin,paycoin
GREXIT,Grexit,grexit
XLM,Stellar,stellar
KORE,KoreCoin,korecoin
FRDC,FreedomCoin,freedomcoin
XLB,Libertycoin,libertycoin
CAIx,CAIx,caix
IFC,Infinitecoin,infinitecoin
NEU,NeuCoin,neucoin
SLING,Sling,sling
PLNC,PLNcoin,plncoin
PKB,ParkByte,parkbyte
PSEUD,PseudoCash,pseudocoin
CAID,Coinaid,coinaid
NLG,Gulden,guldencoin
TENNET,TenneT,tennet
GCC,GuccioneCoin,guccionecoin
DOGED,DogeCoinDark,dogecoindark
WOP,WorldPay,worldpay
CSC,CasinoCoin,casinocoin
GCN,GCoin,gcoin
SHA,SHACoin,shacoin
GCR,Global Currency Reserve,global-currency-reserve
MOTO,Motocoin,motocoin
SHADE,ShadeCoin,shadecoin
RT2,RotoCoin,rotocoin
MONETA,Moneta,moneta2
CAGE,CageCoin,cagecoin
LEAF,LeafCoin,leafcoin
GSY,GenesysCoin,genesyscoin
XCE,Cerium,cerium
XCH,ClearingHouse,clearinghouse
DOGE,Dogecoin,dogecoin
XCN,Cryptonite,cryptonite
BTX,BitcoinTX,bitcointx
MOON,Mooncoin,mooncoin
XCR,Crypti,crypti
XCP,Counterparty,counterparty
BTA,Bata,bata
BTC,Bitcoin,bitcoin
BTB,BitBar,bitbar
BTM,Bitmark,bitmark
SSD,Sonic,sonicscrewdriver
